"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADGRF1",-3.39809666666666,7.55712833333333,-20.5898247430632,3.62207173931546e-10,3.50026746722917e-08,13.953535491957
"H2BC7",-1.47773,10.726735,-20.5759576086995,3.64851190447123e-10,3.50026746722917e-08,13.9460636789319
"SPRED2",-1.40481666666666,10.094325,-20.5492252428713,3.70007663263283e-10,3.50026746722917e-08,13.9316448435305
"LRRC17",1.53417333333334,7.68333666666667,20.5480531549373,3.70235557855306e-10,3.50026746722917e-08,13.931012191671
"WDR76",-1.81808,9.83726,-20.5465458865822,3.7052884771396e-10,3.50026746722917e-08,13.9301985650915
"TNFRSF21",-1.54106,10.2184033333333,-20.5422739957144,3.71361462758386e-10,3.50026746722917e-08,13.9278922464609
"MASTL",-1.40899333333333,10.3247366666667,-20.5109000067743,3.77539178527763e-10,3.5407915693666e-08,13.9109384239045
"CYP27A1",1.44460666666667,8.41627,20.4707151602017,3.85615703731408e-10,3.59863447081227e-08,13.8891833126596
"PCDHB18P",1.56638,8.17500333333333,20.3868217366021,4.0308970031541e-10,3.74317435499793e-08,13.8436196446371
"ORC6",-1.90838,8.24241,-20.3504077094413,4.10940894003411e-10,3.7973758788521e-08,13.8237810487895
"CCDC86",-1.41889666666666,9.58461833333333,-20.2731071571506,4.28164897970933e-10,3.92362585700166e-08,13.781542825172
"NREP",1.78693333333333,11.4461666666667,20.2704705432988,4.28766074236031e-10,3.92362585700166e-08,13.7800991458769
"QRFPR",-1.72909333333333,8.86547666666667,-20.1872447699647,4.48222667534941e-10,4.07712347125701e-08,13.7344268872514
"POLQ",-1.65308333333333,7.75449166666667,-20.1803977734029,4.4986562093335e-10,4.07712347125701e-08,13.7306606019643
"PLEKHG1",1.74223333333333,7.31050666666667,20.0637565250526,4.78884654396358e-10,4.31935627752428e-08,13.6662931847343
"CERS4",1.83296666666667,8.9808,20.0507273690472,4.82250574895447e-10,4.32900266064479e-08,13.6590787524243
"PLK4",-1.81164,9.38518,-20.0293728658868,4.87823051991757e-10,4.35827125739176e-08,13.6472437992109
"LGR4",1.92381666666667,9.784925,19.9922649429962,4.97673794637161e-10,4.4087340129739e-08,13.6266465390985
"PNP",-1.48478666666666,10.1033066666667,-19.9904957537959,4.98148822218153e-10,4.4087340129739e-08,13.6256635243943
"SHTN1",1.47796,10.5519866666667,19.9661246994781,5.04742909230106e-10,4.44621896350315e-08,13.6121129355717
"PCDHB15",1.91249666666667,7.87780833333333,19.8853678302937,5.27281171816694e-10,4.62315226507744e-08,13.5670868744495
"CFI",1.58931333333333,8.11921,19.8749374620197,5.30271129818679e-10,4.62784308713515e-08,13.5612574402508
"CHAF1A",-1.51695,9.309825,-19.8603691420874,5.34478190405048e-10,4.6430637637445e-08,13.5531099767349
"CTDSPL",-1.66807666666666,9.01840166666667,-19.8295397944101,5.43501387990028e-10,4.69979113073395e-08,13.5358477271805
"MCM3",-1.50303333333333,10.2303166666667,-19.8051711989824,5.50750941688632e-10,4.74073333414265e-08,13.5221831437127
"ANO1",-1.62609333333333,9.01278666666667,-19.7884832666067,5.55776202427077e-10,4.74911000350585e-08,13.5128153019022
"NR5A2",2.10130666666667,8.15594,19.7852266743342,5.56762670826372e-10,4.74911000350585e-08,13.510986235882
"MCM4",-1.71067,10.4889316666667,-19.748996852708,5.6786663034574e-10,4.82200623812953e-08,13.4906164755561
"RAD51AP1",-1.98331,8.90583166666667,-19.7298648389065,5.73827374046884e-10,4.83428644709291e-08,13.4798439664965
"SERTAD4",-1.50602666666667,9.97222,-19.7279051628518,5.7444176125872e-10,4.83428644709291e-08,13.4787399308051
"BLM",-2.31843,8.99715833333333,-19.7129610362925,5.79150573216514e-10,4.85225220253534e-08,13.4703169862641
"PBK",-1.58016333333333,9.988985,-19.6480758882652,6.00088205797054e-10,5.00109427611361e-08,13.433668278618
"ATP2B4",1.3342,11.7848333333333,19.6416025016436,6.02221845354511e-10,5.00109427611361e-08,13.4300050188355
"UCK2",-1.5293,10.6872833333333,-19.57503174918,6.24649009680793e-10,5.16458705328624e-08,13.3922596447646
"CAPS",1.67406666666667,11.8174666666667,19.5284161036104,6.40893846195544e-10,5.27575977931537e-08,13.3657489329725
"SIDT2",1.47523333333334,10.8106166666667,19.5141195955046,6.45967629287821e-10,5.29379436771175e-08,13.3576051650521
"SLC1A1",-1.99216,8.73388,-19.5064679085451,6.48701129351978e-10,5.29379436771175e-08,13.3532439536212
"MRAS",1.39201,8.72488166666667,19.4984325241594,6.51585256290992e-10,5.29441106307823e-08,13.3486621275413
"E2F8",-1.68294333333333,8.475495,-19.4480752179577,6.6998067202729e-10,5.42051744565941e-08,13.3199032085472
"SLC2A12",2.36157666666667,6.72200166666667,19.4150843258609,6.82338125621102e-10,5.49690427610401e-08,13.301020126096
"EEIG1",1.36862333333333,10.3691216666667,19.3891784932343,6.92215550895336e-10,5.55274695741616e-08,13.286168914173
"PPP2R2B",1.57792666666667,8.83894333333333,19.3669330681802,7.00821537331701e-10,5.58084463837348e-08,13.2733996445453
"HMGCLL1",1.78479666666667,6.68075166666667,19.3648348192308,7.01639265447199e-10,5.58084463837348e-08,13.2721944250587
"DKC1",-1.37145,10.6501416666667,-19.3539662606832,7.05891601100178e-10,5.591076711067e-08,13.2659494267806
"ST8SIA4",1.89253666666667,10.6254983333333,19.3036649415241,7.25940597163674e-10,5.72581849252402e-08,13.2369990726554
"KRCC1",1.74917666666667,8.459595,19.2636560917712,7.4232970449088e-10,5.83069052473232e-08,13.2139164056735
"NCAPH",-1.74680333333333,10.3316316666667,-19.2120464441678,7.64068205839847e-10,5.97653516526429e-08,13.1840671501376
"PYGL",1.3007,11.5293166666667,19.1689140443508,7.82767667685141e-10,6.09750136509612e-08,13.1590569453612
"TRIM9",1.58899333333333,8.53075666666667,19.1019082416191,8.12812031413447e-10,6.30548131859049e-08,13.1200878441354
"NEFL",1.28851333333333,10.53501,19.0793910524756,8.23188194973192e-10,6.34445483529969e-08,13.1069605370607
